City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,beringovskiy,63.05,179.3167,-14.93,94,97,5.68,RU,1680547081
312,teguldet,57.3064,88.1667,-0.18,98,100,3.71,RU,1680547041
313,mabaruma,8.2,-59.7833,31.0,58,40,4.12,GY,1680547247
314,penzance,50.1186,-5.5371,8.38,75,100,8.13,GB,1680547129
315,lagunas,-5.2269,-75.6753,28.34,69,92,0.87,PE,1680547248
316,puerto madryn,-42.7692,-65.0385,23.23,21,0,3.59,AR,1680547007
317,costinesti,43.95,28.6333,9.58,82,100,6.56,RO,1680547249
318,takoradi,4.8845,-1.7554,27.6,78,93,4.33,GH,1680547249
319,dunedin,-45.8742,170.5036,12.67,75,100,2.92,NZ,1680547039
320,nikolayevka,53.1257,47.2041,9.47,53,100,1.84,RU,1680547250
321,pacific grove,36.6177,-121.9166,13.34,58,0,8.75,US,1680547250
322,altay,47.8667,88.1167,-5.79,41,0,3.15,CN,1680547251
323,sur,22.5667,59.5289,24.48,57,0,2.57,OM,1680547058
324,sarangani,5.4033,125.4636,26.8,78,73,1.1,PH,1680547251
325,waingapu,-9.6567,120.2641,24.99,86,100,0.88,ID,1680547251
326,nova olimpia,-14.7972,-57.2881,28.69,72,11,1.44,BR,1680547252
327,norman wells,65.282,-126.8329,-7.98,86,100,2.57,CA,1680546979
328,meulaboh,4.1363,96.1285,24.65,87,83,1.46,ID,1680547117
329,dongsheng,39.8161,109.9776,-0.44,99,100,5.98,CN,1680547253
330,chapais,49.7834,-74.8492,-3.12,98,100,3.59,CA,1680547065
331,aykhal,66.0,111.5,-10.57,93,100,6.29,RU,1680547253
332,baffa,34.4378,73.2194,12.11,77,100,1.67,PK,1680547254
333,marystown,47.1666,-55.1483,-0.64,100,69,9.39,CA,1680547254
334,ottawa,45.4112,-75.6981,9.26,74,75,5.14,CA,1680546907
335,patea,-39.7583,174.4833,8.93,92,10,1.52,NZ,1680547254
336,flinders,-34.5833,150.8552,16.88,85,36,1.34,AU,1680547255
337,muros,42.7762,-9.0603,15.61,76,100,3.38,ES,1680547255
338,yulara,-25.2406,130.9889,22.54,40,99,3.61,AU,1680547256
339,namibe,-15.1961,12.1522,24.56,69,93,3.73,AO,1680547256
340,russell,32.3502,-85.1999,16.6,94,75,2.06,US,1680547082
341,port lincoln,-34.7333,135.8667,17.63,72,5,2.52,AU,1680546972
342,pafos,34.7667,32.4167,15.88,77,0,1.54,CY,1680547131
343,hoshcha,50.6003,26.6744,0.11,96,100,3.94,UA,1680547257
344,oskaloosa,41.2964,-92.6444,17.99,24,0,6.69,US,1680547257
345,mandan,46.8267,-100.8896,1.32,82,100,4.63,US,1680546891
346,tashla,51.7716,52.7427,9.88,56,15,2.6,RU,1680547258
347,north bend,43.4065,-124.2243,6.07,84,75,3.6,US,1680547258
348,hovd,48.0056,91.6419,-8.74,20,7,2.34,MN,1680547258
349,bathsheba,13.2167,-59.5167,30.34,58,20,8.23,BB,1680547259
350,pasighat,28.0667,95.3333,17.43,82,98,1.29,IN,1680547259
351,tocopilla,-22.092,-70.1979,24.39,74,1,3.19,CL,1680547260
352,panji,-7.7253,114.0995,23.72,90,100,2.15,ID,1680547260
353,chifeng,42.2683,118.9636,2.61,80,100,4.38,CN,1680547087
354,skibbereen,51.55,-9.2667,10.06,89,100,5.98,IE,1680547189
355,kahului,20.8947,-156.47,24.36,78,100,4.47,US,1680547021
356,challapata,-18.9,-66.7667,16.43,33,88,4.35,BO,1680547261
357,marzuq,14.4,46.4667,23.9,66,85,2.18,YE,1680547261
358,hay river,60.8156,-115.7999,-11.02,67,75,4.12,CA,1680547262
359,karratha,-20.7377,116.8463,27.91,75,10,4.53,AU,1680547262
360,khasan,42.4308,130.6434,5.67,88,100,1.65,RU,1680547262
361,liepaja,56.5419,21.0367,-1.01,74,0,3.09,LV,1680547263
362,lac du bonnet,50.2536,-96.0612,-3.05,72,100,3.72,CA,1680547263
